Title: EntireCorpus-Lemmas
Number of all lemmas: 77614
Nummber of different lemmas: 14418

Lemma	POS	Frequency	Tokens
halb	JJ, CD, NN	34	halbe, halb, halben, halber, halbes
Alles	NN, JJ	34	Alles
vergeben	VB, VBN, RP	34	vergeben
zufried	JJ	34	zufrieden
erzählen	VB	34	erzähle, erzählen, erzählt, erzählte, erzählst, erzählet
Ernst	NNP, NN	34	Ernst
schöne	NN, JJ	34	schöne
verzeihen	VB, PRP$	34	verzeihen
Bald	NN	34	Bald
gehe	NN	33	gehe
davonen	VB, RB	33	davon
Mamsell	NN, JJ	33	Mamsell
könnte	VB, RB	33	könnte
Mademoiselle	NN, NNP	33	Mademoiselle
holen	VB, VBN, PRP$	33	holt, hole, holen, geholt, holte
vorhin	RB, RP, IN	33	vorhin
voraus	JJ, RB, RP, IN	33	voraus
gehn	NN	33	gehn
Braut	NN, JJ, NNP	33	Braut
wäre	NN, VB, RB	33	wäre
erinnern	VB, VBN	33	erinnern, erinnere, erinnerte, erinnert
richtig	JJ	33	richtig, richtiges
Philto	NN, NNP	33	Philto
Verzeihen	NN, VB	33	Verzeihen, Verzieht
dächte	NN	33	dächte
nu	UH	33	nu
nunmehr	IN, RP, RB, NNP	33	nunmehr
zugleich	RB, IN, RP	33	zugleich
Rat	NN	33	Rat
dumm	JJ, RB	33	dumme, dumm, dummer, dummen
Gefahr	NN	32	Gefahr
Stelle	NN	32	Stelle
Miene	NN, NNS	32	Miene, Mienen
Anselmo	NN, NNP, JJ	32	Anselmo
rufen	VB, VBN, PRP$	32	gerufen, ruft, rufen, rief, riefen, rufe
Hände	NN, JJ	32	Hände
wagen	VB, VBN, RP	32	wagt, gewagt, wagen
Ding	NN, JJ, NNP	32	Ding, Dinger, Dingen
Zimmer	NN, JJ	32	Zimmer
Sieh	NN	32	Sieh
legen	VBN, VB, RP	32	gelegt, legen, legt, legte
Verdacht	NN, NNS, JJ	32	Verdacht, Verdachte
nimm	NN	32	nimm
grösst	JJ, VB	32	größte, größten, größter
Fehler	NN	32	Fehler
gedenken	VB, VBN, RP	32	gedenken, gedacht
sitzen	VB, RP, PRP$, VBN	31	sitzen, sitzt, sitze, gesessen
damien	IN, VB, RB	31	damit
Ritter	NN, NNP	31	Ritter
Paar	NN, JJ	31	Paar
unserm	PRP$	31	unserm
unsern	PRP$	31	unsern
Augenblicke	NN	31	Augenblicke
gestehen	VB, RP, VBN	31	gestehen, gestanden
hundert	CD	31	hundert
entgegen	RP, IN, TO, RB	31	entgegen
komm	NN	31	komm
Natur	NN	31	Natur
näh	JJ	31	näher
Wolle	NNS	31	Wollen
geschehen	VB, VBN, RP	30	geschehen
umsonst	RB, JJ, RP, IN	30	umsonst
hätt	NN	30	hätt
Schande	NN, NNS	30	Schande, Schanden
mirs	NN, JJ	30	mirs
unsere	PRP$	30	unsere
Tod	NN, JJ	30	Tod
Exempel	NN	30	Exempel
