Title: Der Schatz
Number of all lemmas: 11596
Nummber of different lemmas: 2131

Lemma	POS	Frequency	Tokens
meinetwegen	RP, RB, IN	3	meinetwegen
stossen	VB	3	stoßen
leicht	JJ	3	leicht
Hände	NN	3	Hände
Zum	IN	3	Zum
reich	JJ	3	reich
grossmütig	RB, JJ	3	großmütig
Indem	RB	3	Indem
Bruder	NN	3	Bruder
Hat	NN, JJ	3	Hat
lee	JJ	3	leer
Hut	NN	3	Hut
schön	JJ	3	schön, schöne
Machen	VB	3	Machen
wiedern	VB	3	wieder
eher	RB, RP	3	eher
Teil	JJ, NN	3	Teile, Teil
kaum	RB	3	kaum
heraus	IN, RP	3	heraus
heisst	JJ, RB	3	heißt
Ewigkeit	NN	3	Ewigkeit
seines	PRP$	3	seines
Doch	RB, WRB	3	Doch
ists	NN	3	ists
Vielleicht	RB	3	Vielleicht
begehen	VBN, VB	3	begangen, begehen
vier	CD	3	vier
fremd	JJ	3	fremde, fremd
suchen	VBN, VB	3	suchen
Liebe	NN	3	Liebe
mitkriegen	VB, NN, VBN	3	mitkriegt, mitkriegen
gleichwohl	NNP, RP, RB	3	gleichwohl
wen	WP	3	wen
Gelegenheit	NN	3	Gelegenheit
Kamille	NN	3	Kamille
wider	IN	3	wider
Willen	NN	3	Willen
daran	RB	3	daran
Bald	NN	3	Bald
Freundschaft	NN	3	Freundschaft
schöne	NN	2	schöne
vergessen	VBN, RP	2	vergessen
ausserordentlich	RB	2	außerordentlich
träumen	VBN, VB	2	geträumt
pflegen	VB	2	pflegen
Handelsmann	NN	2	Handelsmann
brauchte	NN	2	brauchte
toll	RB, JJ	2	toll
annehmen	VB	2	annehmen
dort	RB	2	dort
überzeugen	VB	2	überzeugt
vorher	RP, RB	2	vorher
freundschaftlich	JJ	2	freundschaftlich
Mangel	NN	2	Mangel
reichen	PRP$, VB	2	reichen, reicht
schiehen	VB	2	geschieht
sicher	RB	2	sicher
spät	JJ	2	spät
springen	VB	2	sprang
vielleichen	RP, RB	2	vielleicht
Neun	CD	2	Neun
eng	NN	2	enge
wegkommen	VB	2	wegkommen
antreffen	NN	2	antreffen
Als	IN	2	Als
Antwort	NN	2	Antwort
klingen	VB, RP	2	klingt
Geschwind	NN	2	Geschwind
brauchen	VB	2	brauchen
sahe	NN	2	sahe
Seinen	PRP$	2	Seinen
Ernste	NN	2	Ernste
Gedanke	NNS	2	Gedanken
175	CD	2	175
Rohr	NN	2	Rohr
Bedienter	NN	2	Bedienter
verraten	VB	2	verraten
Geschlechte	NN	2	Geschlechte
Sei	NN	2	Sei
kaltsinnig	RB	2	kaltsinnig
entschuldigen	VB	2	entschuldigen
Gewalt	NN	2	Gewalt
ihrer	PRP$	2	ihrer
Dienste	NN	2	Dienste
singen	VB	2	singt, singen
