WORD_LOWER	EMO_MEAN	AROUSAL_MEAN
einfalt	-1,2	2,555555556
eingehen	0,029411765	2,19047619
einheit	1,176470588	2,235294118
einigung	1,5	2
einklang	1,9	1,529411765
einladen	1,676470588	2,533333333
einladung	1,647058824	2,6
einnahme	0,4	2,444444444
einsam	-2,2	3,1
einsatz	1	2,764705882
einsetzen	0,411764706	2,736842105
einsicht	1,090909091	2,111111111
einstellen	0,352941176	2,238095238
einsturz	-1,7	4,058823529
eintracht	0,441176471	1,842105263
eintreten	0,147058824	2,142857143
eintritt	0,3	2,75
eis	1,8	2,789473684
eitel	-1,1	3,052631579
ekel	-2	4
ekstase	2	4,5
elch	1	2,91
elefant	1,32	2,95
elend	-2,1	4,1
embargo	-1,7	3,222222222
emotion	0,7	3,133333333
empfangen	1,147058824	2,761904762
empfehlen	1,088235294	2,285714286
empfinden	1,5	2,333333333
ende	-0,6	2,80952381
enden	-0,941176471	2,761904762
endziel	0,6	3,80952381
energie	2,1	3,470588235
engel	2,15	2,222222222
enkel	1,25	2,277777778
entdecken	1,735294118	3,2
ente	0,91	2,41
entfallen	-0,676470588	2,368421053
entfernen	-0,705882353	2,866666667
entfernung	-1,088235294	2,380952381
enthalten	-0,352941176	2,19047619
entlassen	-1,617647059	3,333333333
entsetzt	-1,8	3,555555556
entstehen	1,176470588	2,105263158
entwurf	0,6	2,052631579
entziehen	-1	1,947368421
entzug	-1,7	3,444444444
erbe	1,1	2,777777778
erbeten	0,058823529	2,157894737
erbin	0,8	3,285714286
erbitten	-0,2	2,722222222
erbse	0,6	1,619047619
erdbeben	-1,7	4,470588235
erdbeere	2,5	2,82
erde	1,9	2,444444444
erfahren	1,235294118	2,714285714
erfahrung	1,735294118	3,421052632
erfassen	0,411764706	2,380952381
erfinder	1,3	2,666666667
erfolg	2,1	3,315789474
erfolgen	0,235294118	2,523809524
erfordern	-0,970588235	2
erfüllen	1,411764706	2,947368421
erfüllung	2,058823529	2,285714286
ergänzen	0,764705882	2,2
ergeben	-0,529411765	2,45
ergebnis	0,735294118	2,789473684
ergreifen	0,147058824	2,428571429
erhalten	0,852941176	2,052631579
erheben	0,088235294	2,095238095
erholung	2,3	1,294117647
erinnern	1,352941176	3
erinnerung	1,411764706	2,947368421
erkennen	1,235294118	2,80952381
erkenntnis	1,764705882	3,428571429
erlauben	0,647058824	1,894736842
erleben	1,735294118	3,095238095
erlebnis	1,3	2,833333333
erledigen	0,088235294	3
erleiden	-1,941176471	3,733333333
ermitteln	-0,294117647	2,5
ernte	1,2	2
erotik	2,3	4,4375
erreger	-1,2	3,888888889
erreichen	1,558823529	2,523809524
errichten	0,676470588	2,157894737
errichtung	0,411764706	2
ersaufen	-2,4	3,421052632
ersetzen	-0,470588235	2,238095238
erteilen	-0,323529412	1,789473684
ertrag	1,5	2,315789474
erwarten	0,470588235	2,666666667
erwartung	0,705882353	3,428571429
erweitern	1,176470588	1,947368421
erwerb	1,05	2,684210526
erwerben	0,852941176	2,263157895
erzählen	1,352941176	2,842105263
erzeugen	0,941176471	2,571428571
erzeuger	0,8	3,052631579
erzeugnis	0,470588235	2,380952381
erzfeind	-2,5	3,666666667
erzielen	0,588235294	2,476190476
esel	1,05	2,73
essen	1,558823529	3,526315789
essig	-0,25	2,611111111
ethik	0,9	3,238095238
eule	0,64	2,09
euphorie	1,4	3,777777778
euter	-0,25	2,368421053
ewigkeit	1,5	2,222222222
existenz	1,6	3,222222222
fabel	1,45	2,052631579
fabrik	-0,7	2,285714286
fächer	0,68	2,14
faden	0,2	1,8
fähigkeit	1,617647059	3
fahndung	-1,1	3,333333333
fahne	-0,2	2
fahren	0,970588235	2,619047619
fahrer	0,55	2,473684211
fahrrad	1,55	3
fahrt	0,941176471	2,368421053
fall	-1,090909091	2,833333333
falle	-1,7	4
fallen	-1,058823529	2,578947368
fällen	-0,705882353	2,095238095
falte	-0,45	2
familie	1,8	2,277777778
fangen	-0,529411765	2,964285714
fantasie	2,4	2,888888889
farbe	1,6	2,210526316
fasan	1	2,05
fasching	0	2,777777778
faschismus	-2,735294118	4
fassade	-0,2	2,222222222
fassen	0,058823529	2,052631579
faust	-0,823529412	3,210526316
feder	1,3	1,666666667
fee	2,3	2,444444444
fehde	-1,45	3,222222222
fehlen	-1,529411765	2,866666667
fehler	-1,6	3,19047619
feier	2,1	3,4375
feiern	2,088235294	3,277777778
feiertag	1,9	1,941176471
feigling	-1,8	3,352941176
feile	0,2	2,421052632
feind	-2,147058824	4,15
fenster	1,14	1,91
ferien	2,6	2,294117647
fernrohr	0,77	2,41
fernsehen	0,205882353	2,3
ferse	0,2	2,125
fessel	-1,3	4,05
fest	1,852941176	2,888888889
festlegen	-0,441176471	2,368421053
festtag	2	2,75
festung	0,1	3,411764706
fett	-1,5	3,5
feucht	-0,4	3,45
feuer	0,05	3,722222222
feurig	0,9	4,157894737
fibel	0,4	1,947368421
fichte	0,85	1,761904762
fieber	-1,8	3,7
figur	0,35	2,526315789
film	1,5	2,611111111
filmstar	1	3,111111111
filter	0,1	2,176470588
finale	0,9	3,523809524
finden	1,352941176	2,526315789
finder	0,75	1,894736842
finger	0,7	2,105263158
firma	0,25	2,444444444
fisch	0,36	2,36
flagge	0,59	2,5
flamingo	1	2,68
flamme	0,6	3,315789474
flasche	0,45	1,95
flaute	-1,05	2,111111111
flegel	-0,9	2,368421053
fleisch	-0,441176471	3,055555556
flexibel	1,7	2,444444444
fliege	-0,95	2,157894737
fliegen	1,676470588	3,523809524
fließen	0,911764706	2,047619048
flirt	1,7	4,368421053
floß	0,68	3
flöte	0,5	2,27
fluch	-2,1	3,65
flucht	-1,529411765	3,888888889
flüchtling	-1,205882353	3,210526316
flughafen	0,848484848	3,476190476
flugzeug	0,5	3,333333333
flut	-0,8	3,619047619
fohlen	1,4	2,368421053
föhn	0,41	2,27
folge	-0,15	2,6
folter	-2,8	4,684210526
foltern	-2,8	4,444444444
fordern	-0,882352941	2,736842105
fördern	1,441176471	2,142857143
forderung	-0,852941176	2,952380952
förderung	1,147058824	2,523809524
form	0,352941176	2,222222222
forsch	-0,2	3,25
forscher	1,088235294	2,666666667
forschung	1,058823529	2,80952381
fortsetzen	0,852941176	2,333333333
fortuna	2,2	2,666666667
foto	0,9	3,263157895
fracht	0,3	2,6
frage	0,15	2,333333333
fragen	0,676470588	2,380952381
fraktion	-0,764705882	2,263157895
frau	1,4	2,5
fräulein	-0,352941176	3
fraulich	1,5	2,5
freier	-1,1	3,444444444
freiheit	2,8	4
freitod	-2	3,777777778
freizeit	2,4	2,882352941
freude	2,7	3,411764706
freudig	1,9	2,944444444
freudlos	-2,2	2,368421053
freuen	2,205882353	3,107142857
freund	2,558823529	2,052631579
frevel	-1,7	3,444444444
friede	2,4	1,4
frieden	2,529411765	1,611111111
friedhof	-1,6	3,166666667
frist	-1,2	3,19047619
frisur	0,75	2,714285714
froh	1,8	2,277777778
fromm	0,4	2,3
front	-1,647058824	3,5
frosch	-0,09	2,82
frühjahr	2,029411765	2,444444444
fuchs	-0,18	3,5
fühlen	2	3,473684211
führer	-2,176470588	3,888888889
führung	-0,470588235	2,444444444
füllen	0,529411765	2,107142857
füller	0,73	2,32
fund	1	2,666666667
funke	0,65	3,105263158
funktionär	-1,411764706	2,210526316
furcht	-2,2	4,421052632
fürchten	-1,647058824	3,857142857
fusion	0,8	2,571428571
futter	0,85	2,368421053
gabel	0,3	2,111111111
galgen	-2,2	4,117647059
galle	-1,6	2,823529412
ganove	-1,4	3,65
gans	0,19	2,86
garaus	-1,75	3,333333333
garten	1,8	1,611111111
gas	-1,470588235	3,380952381
gast	1,411764706	2,277777778
gatte	0,7	3,047619048
gauner	-1,35	3,6
gebein	-1,15	2,722222222
gebet	0,75	2,714285714
gebiet	0,1	2,315789474
gebot	0,2	2,777777778
geburt	1,9	4,176470588
geburtstag	1,911764706	3,142857143
gedanke	1,5	2,611111111
gedenken	0,588235294	2,736842105
gedicht	0,7	2,947368421
geduld	2	1,823529412
gefahr	-1,8	4,380952381
gefährden	-1,647058824	3,9
gefallen	1,529411765	2,392857143
gefängnis	-2,264705882	3,052631579
gefühl	2,205882353	3,111111111
gegend	0,3	1,944444444
gegensatz	0,029411765	3,066666667
gegenteil	-0,029411765	2,761904762
gegner	-1,4	3,619047619
gehalt	1,1	2,777777778
geheim	-0,6	3,157894737
geheimnis	1,117647059	3,80952381
gehen	0,411764706	2,315789474
geheul	-1,6	3,7
gehirn	1,5	3,277777778
gehören	0,058823529	2,210526316
geier	-0,5	3,176470588
geige	1,5	2,59
geisel	-2,2	4,35
geist	1,1	2,833333333
geiz	-1,6	3,611111111
gejammer	-1,7	3,222222222
gekicher	0	3,111111111
gelaunt	0,1	2,555555556
geld	1,6	2,944444444
